data_year,victim_id,offense_id
2021,163357900,177640040
2021,163362409,177644742
2021,163362411,177644744
2021,163362441,177644775
2021,163362443,177644777
2021,163362713,177645041
2021,158586135,172859995
2021,158586149,172860012
2021,158586149,172860013
2021,158586150,172860012
2021,158586150,172860013
2021,158586151,172860014
2021,158586151,172860015
2021,163520473,177811275
2021,158586153,172860017
2021,158586154,172860018
2021,158586155,172860020
2021,158586156,172860019
2021,158586158,172860023
2021,163357904,177640044
2021,158586159,172860024
2021,158586163,172860028
2021,158586165,172860030
2021,158586167,172860033
2021,158586168,172860034
2021,158586169,172860035
2021,158586170,172860036
2021,158592811,172866907
2021,158586172,172860038
2021,158586173,172860039
2021,158586174,172860040
2021,158586175,172860041
2021,158586176,172860042
2021,163367326,177649860
2021,163360157,177642388
2021,158586177,172860043
2021,158586178,172860044
2021,158586179,172860045
2021,163361827,177644132
2021,163361827,177644133
2021,158586180,172860046
2021,158586182,172860048
2021,158586183,172860049
2021,158586183,172860050
2021,158586184,172860051
2021,158586185,172860052
2021,158586188,172860055
2021,158586189,172860056
2021,163357914,177640055
2021,158586190,172860057
2021,158586191,172860058
2021,158586194,172860061
2021,158586196,172860063
2021,158586197,172860064
2021,158586262,172860134
2021,158586203,172860071
2021,158586204,172860072
2021,158586205,172860073
2021,158586316,172860188
2021,158586319,172860191
2021,158586326,172860199
2021,158586364,172860241
2021,158586365,172860242
2021,158586437,172860312
2021,158586437,172860313
2021,158586504,172860382
2021,158586507,172860385
2021,158586510,172860388
2021,158592814,172866910
2021,158585468,172859285
2021,158585469,172859285
2021,158585497,172859315
2021,158585499,172859318
2021,158585501,172859320
2021,158585502,172859321
2021,158585503,172859321
2021,158585504,172859322
2021,158585506,172859324
2021,158585507,172859325
2021,158585510,172859328
2021,158585527,172859347
2021,158585527,172859348
2021,163367327,177649861
2021,163357922,177640064
2021,158585529,172859350
2021,158585530,172859351
2021,158585532,172859353
2021,158585534,172859355
2021,158585537,172859359
2021,158585539,172859361
2021,158585541,172859363
2021,158585542,172859364
2021,158585544,172859367
2021,158585561,172859387
2021,158585563,172859389
2021,158585563,172859390
2021,158585564,172859389
2021,158585564,172859390
2021,158585565,172859391
2021,165934489,180238924
2021,165934489,180238925
2021,158585572,172859398
2021,158585590,172859418
2021,158585591,172859419
2021,158585591,172859420
2021,158585593,172859422
2021,163367328,177649862
2021,158585597,172859426
2021,158585600,172859431
2021,158585601,172859432
2021,158585604,172859435
2021,158585607,172859439
2021,158585611,172859443
2021,158585614,172859446
2021,158585664,172859499
2021,158585668,172859503
2021,158585669,172859504
2021,158585671,172859506
2021,158585673,172859508
2021,158585674,172859509
2021,158585676,172859511
2021,158585678,172859513
2021,158585680,172859515
2021,158585682,172859517
2021,158585684,172859519
2021,158585687,172859522
2021,158586037,172859884
2021,158586037,172859885
2021,163357666,177639794
2021,158586385,172860260
2021,158585472,172859288
2021,158585472,172859289
2021,158585475,172859292
2021,158585476,172859293
2021,163358300,177640463
2021,158585689,172859524
2021,158585690,172859525
2021,163357667,177639795
2021,158585692,172859527
2021,158585692,172859528
2021,158585693,172859527
2021,158585693,172859528
2021,158586512,172860390
