data_year,weapon_id,offense_id,nibrs_weapon_id
2021,42,165217763,
2021,41,165217769,
2021,41,165219486,
2021,41,177654746,
2021,41,177653554,
2021,41,165217797,
2021,41,165217810,
2021,41,165219520,
2021,41,165470452,
2021,41,165219436,
2021,41,165217711,
2021,41,165221818,
2021,41,165217721,
2021,41,165219443,
2021,42,177812360,
2021,38,177718393,
2021,41,165470509,
2021,41,165470513,
2021,21,165470517,
2021,38,165472628,
2021,41,177718398,
2021,41,177718399,
2021,41,165494192,
2021,41,177718445,
2021,41,165494221,
2021,41,177718583,
2021,41,177718596,
2021,41,165494219,
2021,41,177718599,
2021,21,177718772,
2021,42,168920757,
2021,41,165472727,
2021,31,165472183,
2021,38,165220699,
2021,41,165472056,
2021,41,165223253,
2021,21,165223254,
2021,41,165472856,
2021,41,165472898,
2021,41,180247585,
2021,41,177718774,
2021,41,165497076,
2021,41,177718785,
2021,41,165220736,
2021,41,165472726,
2021,41,177718829,
2021,41,165220830,
2021,41,165223214,
2021,41,165224631,
2021,41,168818082,
2021,41,177718830,
2021,3,177812402,
2021,7,177812402,
2021,38,177718868,
2021,41,165224633,
2021,41,165496465,
2021,41,177718983,
2021,41,165224470,
2021,42,165496541,
2021,42,177719081,
2021,38,165496556,
2021,41,165496576,
2021,41,177719420,
2021,41,165496621,
2021,41,165224516,
2021,41,165496640,
2021,41,165224527,
2021,41,165496652,
2021,38,177719563,
2021,41,168818084,
2021,38,168818048,
2021,41,168818049,
2021,41,177719573,
2021,38,177812409,
2021,41,168815113,
2021,41,168815122,
2021,41,168815123,
2021,41,177720695,
2021,41,177720700,
2021,41,177720775,
2021,41,168815156,
2021,41,168815157,
2021,41,168815158,
2021,41,177720777,
2021,38,177718266,
2021,38,177718284,
2021,41,168815381,
2021,41,168815382,
2021,41,177813192,
2021,41,168920763,
2021,41,177813242,
2021,42,168815878,
2021,41,168816078,
2021,41,168816082,
2021,41,177813244,
2021,41,168816024,
2021,41,177813245,
2021,41,168816027,
2021,41,177814180,
2021,41,168816038,
2021,42,177814395,
2021,41,168816239,
2021,41,177814402,
2021,38,177814432,
2021,41,168893287,
2021,41,177814550,
2021,42,177814793,
2021,41,177814800,
2021,41,168893293,
2021,41,177811536,
2021,41,177811538,
2021,41,177811788,
2021,41,177812113,
2021,41,177812567,
2021,38,177812589,
2021,38,177812591,
2021,41,177812914,
2021,41,177813211,
2021,41,177813399,
2021,38,180249358,
2021,41,177813779,
2021,41,177813956,
2021,41,177811025,
2021,41,177811284,
2021,41,177811562,
2021,38,177811570,
2021,41,177811542,
2021,41,177811800,
2021,41,177811802,
2021,42,177813408,
2021,41,177813573,
2021,41,177813587,
2021,41,177813812,
2021,41,180249504,
2021,38,177814005,
2021,41,177814009,
2021,41,177812056,
2021,41,168892163,
2021,41,168892293,
2021,38,177812067,
2021,41,168892295,
2021,41,168920764,
2021,41,177812079,
2021,41,168920923,
2021,39,168892303,
2021,39,168892306,
2021,41,177812080,
2021,41,177812761,
2021,41,168892458,
2021,41,168892461,
2021,41,168892462,
2021,41,168892399,
2021,41,177812763,
2021,41,177812766,
2021,41,177812771,
2021,41,177812772,
2021,41,177812785,
2021,41,177812792,
2021,41,177812873,
2021,41,177812908,
2021,41,177812910,
2021,41,177813156,
2021,41,180249561,
2021,1,180250415,
2021,41,180251609,
2021,38,180251609,
2021,41,180251630,
2021,38,180250448,
2021,41,168901817,
2021,41,168901819,
