data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2021,147597994,52,0,,
2021,147646164,63,1,,
2021,147646165,19,582,,
2021,138479556,63,1,,
2021,138479557,35,1000,,
2021,138479574,10,,,
2021,138271300,63,200,,
2021,138479569,63,12,2021-03-05,
2021,138479570,63,12,,
2021,147646166,52,0,,
2021,147646169,20,13000,,
2021,149545237,21,1,,
2021,149545238,20,3915,,
2021,147646172,20,16265,,
2021,147646174,19,937,,
2021,147646175,19,445,,
2021,147646176,19,548,,
2021,147646178,19,210,,
2021,147646179,50,1,,
2021,147646181,8,800,,
2021,147646268,63,20,,
2021,147646269,3,5000,,
2021,147646341,19,125,,
2021,147646342,21,1,,
2021,147646343,20,4790,,
2021,147646344,19,74,,
2021,147646345,20,8750,,
2021,147646346,19,60,,
2021,147646347,19,563,,
2021,147646351,20,1880,,
2021,147713742,20,9000,,
2021,147713743,50,22,,
2021,147646361,19,1,,
2021,147646367,45,150,,
2021,147646777,19,378,,
2021,149545255,42,60717,,
2021,141044627,20,21,,
2021,149545255,57,63481,,
2021,147646799,50,39,,
2021,147594085,63,1,,
2021,147646808,13,1,,
2021,147594086,10,,,
2021,147646808,48,1,,
2021,147646822,52,0,,
2021,147646828,52,0,,
2021,147646842,47,0,,
2021,147647294,8,5,,
2021,147647294,16,20,,
2021,147645028,63,10,,
2021,147713419,10,,,
2021,147645029,16,55,,
2021,147645031,20,10000,,
2021,147713744,20,5000,,
2021,147713745,50,29,,
2021,147713746,17,1500,,
2021,147713747,3,3001,2021-12-04,
2021,147713748,3,3001,,
2021,147713748,9,0,,
2021,147713748,20,50,,
2021,147713748,51,0,,
2021,147713749,19,431,,
2021,147713750,3,22000,,
2021,147713751,19,590,,
2021,147713752,19,376,,
2021,147713753,6,50,,
2021,147713753,9,0,,
2021,147713753,20,9934,,
2021,147713753,21,1,,
2021,147713753,51,0,,
2021,147713753,61,500,,
2021,147713894,19,188,2021-12-03,
2021,140963639,63,2,,
2021,138482348,10,,,
2021,141044767,2,3,,
2021,138479713,63,1,,
2021,140990810,63,200,,
2021,138479764,63,1,,
2021,140990811,3,200,,
2021,140990812,10,,,
2021,144014062,10,,,
2021,141024879,10,,,
2021,140990814,63,1,,
2021,149526781,10,,,
2021,147713895,19,188,,
2021,147713896,11,1,,
2021,141024880,63,226,,
2021,140967632,10,,,
2021,140967657,63,160,,
2021,140967658,63,100,,
2021,147713421,3,2000,,
2021,140967659,63,1,,
2021,140967660,16,100,,
2021,140967661,63,10,,
2021,141024883,20,1000,,
2021,140967662,63,32,,
2021,141025005,10,,,
2021,141025005,11,1,,
2021,140967663,63,30,,
2021,147594000,10,1,,
2021,141044768,63,6,,
2021,147600322,2,22,,
2021,141025019,63,200,,
2021,147713897,3,1,,
2021,147713422,63,100,,
2021,147713898,19,1649,,
2021,147713899,19,556,,
2021,147713900,11,1,,
2021,147713901,19,820,2021-12-04,
2021,147713902,19,2134,,
2021,149545300,22,0,,
2021,149526782,63,1,,
2021,149526783,9,0,,
2021,141044771,63,40,,
2021,141025021,63,1,,
2021,141025022,10,1,,
2021,141025023,3,100,,
2021,141044772,63,199,,
2021,141025024,63,1,,
2021,144014070,3,250,,
2021,144014071,63,500,,
2021,141045239,63,4000,,
2021,149545301,20,2626,,
2021,149545301,22,0,,
2021,147713905,3,1,,
2021,147713906,38,600,,
2021,147713907,20,2000,,
2021,147713908,17,5500,,
2021,147713909,17,2000,,
2021,147713911,19,211,,
2021,149526784,3,8000,,
2021,149526784,9,0,,
2021,147713912,9,0,,
2021,147713912,20,247,,
2021,147713912,21,1,,
2021,147713912,25,55,,
2021,147713912,47,0,,
2021,147713912,51,0,,
2021,147713912,63,50,,
2021,147713913,19,164,2021-12-11,
2021,147713914,19,164,,
2021,147713915,19,52,,
2021,147713936,19,135,,
2021,147713937,19,174,,
2021,147713938,52,0,,
2021,147713939,20,6500,,
2021,147713940,19,1222,,
2021,149545316,19,699,2021-12-13,
2021,149545317,19,699,,
2021,147713943,3,1,2021-12-14,
2021,147713944,19,395,,
2021,149545333,17,22000,,
2021,147664423,13,1,2021-06-10,
2021,147713946,5,366,,
2021,147713947,10,,,
2021,147713948,19,95,,
2021,147713949,9,0,2021-12-21,
2021,147713950,20,406,,
2021,147713951,19,392,2021-12-16,
2021,147713952,19,392,,
2021,147713953,17,80,,
2021,147713954,20,9200,,
2021,147713955,19,60,2021-12-17,
2021,147713956,19,60,,
2021,147713957,38,1,2021-12-22,
2021,147713916,19,224,2021-12-19,
2021,147713917,19,224,,
2021,147713918,19,630,,
2021,147714026,19,118,,
2021,147714027,20,10,2021-12-23,
2021,147714028,20,10,,
2021,147714197,19,82,,
2021,144014072,63,100,,
2021,147714198,19,226,,
2021,147711690,19,50,,
2021,149545357,20,20,,
2021,149545358,19,20,,
2021,147711693,19,178,,
2021,147711694,19,100,,
2021,147711695,20,300,,
2021,147711696,19,408,,
2021,147711697,19,516,,
2021,147711698,19,171,,
2021,147711699,19,106,,
2021,147711700,19,141,,
2021,149546266,20,2098,,
2021,147713425,10,,,
2021,149546266,52,0,,
2021,149546576,9,0,,
2021,147713548,63,0,,
2021,147713549,63,200,,
2021,147600633,6,234,,
2021,147594001,63,166,,
2021,144008693,63,1,,
2021,144008696,63,1,,
2021,147594002,63,400,,
2021,147600636,63,1,2021-06-30,
2021,147600637,63,1,,
2021,144008984,38,100,,
2021,149548471,61,800,,
2021,149548476,50,197,,
2021,149548511,50,51,,
2021,149548753,52,0,,
2021,144008019,3,999999998,,
2021,147600639,63,100,,
2021,144008990,63,300,,
2021,147713550,63,1200,,
2021,143995687,16,50,,
2021,143995688,63,0,,
2021,143995701,19,58,2021-01-02,
2021,143995702,19,999999998,,
2021,143995703,19,42,,
2021,143995725,8,5,,
2021,143995726,6,1,,
2021,143995726,19,1,,
2021,143995726,25,45,,
2021,147587237,36,3201,,
2021,143995727,6,1,2021-01-03,
2021,143995728,6,1,,
2021,143995729,63,1,,
2021,143995730,17,50,2021-01-04,
2021,143995730,20,3584,2021-01-04,
2021,143995730,25,25,2021-01-04,
2021,143995731,17,50,,
2021,143995731,20,3584,,
