data_year,victim_id,offender_id,relationship_id,nibrs_victim_offender_id
2022,178080226,182787196,18,
2022,178080231,182787201,3,
2022,178137148,182842884,18,
2022,178080235,182787205,18,
2022,178080235,182787206,18,
2022,178080236,182787207,18,
2022,178080236,182787208,18,
2022,178080237,182787209,18,
2022,178080240,182787212,18,
2022,178080573,182787537,18,
2022,178073296,182780416,3,
2022,178080574,182787538,3,
2022,165948040,170787510,18,
2022,178073303,182780422,18,
2022,178137150,182842886,26,
2022,178080373,182787359,18,
2022,178073312,182780432,18,
2022,165948044,170787514,18,
2022,178072325,182779447,18,
2022,178137719,182843449,18,
2022,178072372,182779495,3,
2022,178080579,182787542,18,
2022,178080579,182787543,18,
2022,178072388,182779511,3,
2022,178080580,182787544,18,
2022,187223883,191812920,18,
2022,178072430,182779550,18,
2022,178072440,182779561,18,
2022,178080585,182787548,18,
2022,178072959,182780077,18,
2022,178080586,182787549,18,
2022,178080586,182787550,18,
2022,178072923,182780036,18,
2022,178080590,182787554,18,
2022,178080590,182787555,18,
2022,178080591,182787556,18,
2022,178137731,182843459,18,
2022,178080594,182787559,18,
2022,178072930,182780043,18,
2022,178072939,182780051,3,
2022,178080376,182787362,3,
2022,178072943,182780055,3,
2022,178072949,182780063,3,
2022,178080657,182787620,3,
2022,178072957,182780075,18,
2022,165948048,170787519,18,
2022,178072969,182780088,18,
2022,178137744,182843473,18,
2022,178137744,182843474,18,
2022,178137745,182843473,18,
2022,178137745,182843474,18,
2022,178072978,182780095,18,
2022,178080989,182787980,18,
2022,178080991,182787982,18,
2022,178072994,182780114,18,
2022,178081347,182788331,18,
2022,178081351,182788335,18,
2022,178073003,182780125,18,
2022,178081354,182788337,3,
2022,178073018,182780137,3,
2022,178073326,182780439,18,
2022,178073327,182780439,18,
2022,178073328,182780439,18,
2022,178073329,182780439,18,
2022,178081368,182788351,3,
2022,178073336,182780448,18,
2022,178081370,182788353,18,
2022,178081371,182788354,18,
2022,178073340,182780453,26,
2022,178081374,182788357,18,
2022,178081376,182788359,3,
2022,178073290,182780410,3,
2022,178073297,182780417,18,
2022,178080383,182787370,26,
2022,178081391,182788375,26,
2022,178073325,182780438,26,
2022,178073335,182780447,3,
2022,178081397,182788380,3,
2022,178081400,182788383,18,
2022,178081403,182788385,18,
2022,178081407,182788388,18,
2022,178081408,182788388,18,
2022,178073348,182780458,18,
2022,178073348,182780459,18,
2022,178073348,182780460,18,
2022,178073349,182780458,18,
2022,178073349,182780459,18,
2022,178073349,182780460,18,
2022,178081410,182788390,26,
2022,178084319,182791357,3,
2022,178081707,182788696,26,
2022,178073353,182780464,18,
2022,178081710,182788698,26,
2022,178081714,182788702,18,
2022,178081716,182788704,26,
2022,178081720,182788710,18,
2022,178081721,182788710,18,
2022,178397810,183101813,18,
2022,178397810,183101814,18,
2022,178397811,183101813,18,
2022,178397811,183101814,18,
2022,178073370,182780484,18,
2022,178082020,182789026,18,
2022,178082020,182789027,18,
2022,178082024,182789030,18,
2022,178082030,182789035,18,
2022,165948052,170787523,18,
2022,165948052,170787524,18,
2022,165948053,170787523,18,
2022,165948053,170787524,18,
2022,178082033,182789039,18,
2022,165948017,170787488,18,
2022,178082038,182789044,3,
2022,178082312,182789317,26,
2022,178082319,182789323,18,
2022,178082321,182789325,3,
2022,178089089,182796259,18,
2022,178082325,182789330,18,
2022,178073380,182780494,18,
2022,178084322,182791359,18,
2022,178082781,182789773,26,
2022,178073394,182780509,18,
2022,178082785,182789777,18,
2022,178082785,182789778,18,
2022,178082786,182789777,18,
2022,178082786,182789778,18,
2022,178082787,182789777,18,
2022,178082787,182789778,18,
2022,178082790,182789782,3,
2022,178082795,182789786,18,
2022,178082797,182789788,3,
2022,178082803,182789794,18,
2022,178082859,182789859,18,
2022,178082868,182789869,18,
2022,178083195,182790212,18,
2022,178073737,182780845,18,
2022,178084323,182791360,18,
2022,178077486,182784397,18,
2022,178077488,182784399,26,
2022,178077489,182784400,18,
