data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2022,4,151456270,1.000,1,13096583
2022,4,151456272,0.000,1,13096584
2022,12,151473191,0.000,1,13099307
2022,12,151456314,0.000,1,13096588
2022,12,151456511,28.000,1,13096600
2022,12,151454118,8.000,3,13096389
2022,12,151454125,0.000,1,13096390
2022,5,151454165,0.000,1,13096391
2022,16,151473221,0.000,1,13099308
2022,12,151473617,1.000,1,13099344
2022,16,151473619,0.000,1,13099345
2022,12,151492372,1.000,1,13102410
2022,5,151492447,90.000,1,13102419
2022,12,151492482,2.000,1,13102420
2022,12,151492487,5.000,1,13102421
2022,16,151492490,0.000,1,13102422
2022,12,151492500,0.000,1,13102423
2022,12,155186567,0.000,1,13667031
2022,12,155186569,1.000,1,13667032
2022,16,155186650,0.000,1,13667034
2022,8,155228579,1.000,3,13672619
2022,12,155207128,1.000,1,13669456
2022,12,155186733,0.000,1,13667040
2022,12,155186761,4.000,1,13667041
2022,12,155186783,0.000,1,13667043
2022,16,155186865,0.000,1,13667047
2022,12,155186871,0.000,1,13667049
2022,16,155200826,3.000,1,13668596
2022,12,155190977,5.000,1,13667363
2022,16,155228585,1.000,9,13672620
2022,16,155232498,0.000,1,13672838
2022,12,155232503,3.000,1,13672839
2022,2,155230367,0.000,1,13672727
2022,12,155230542,0.000,1,13672739
2022,12,155230713,2.000,1,13672747
2022,12,155198080,1.000,1,13668267
2022,16,155198081,10.000,1,13668268
2022,12,155198090,1.000,1,13668269
2022,12,155197077,4.000,1,13668169
2022,16,155282370,4.000,1,13679109
2022,4,162383977,1.000,1,14655328
2022,16,155285856,37.000,9,13679490
2022,12,155285927,4.000,1,13679498
2022,12,162498296,1.000,1,14668660
2022,17,162389064,0.000,1,14655667
2022,5,162389065,0.000,1,14655668
2022,16,162389067,0.000,1,14655669
2022,16,162498300,0.000,1,14668661
2022,12,162498236,1.000,1,14668640
2022,16,162498240,1.000,9,14668641
2022,16,162498242,0.000,1,14668642
2022,12,162498247,0.000,1,14668643
2022,5,162498248,3.000,4,14668644
2022,16,162498252,32.000,1,14668649
2022,2,162498255,1.000,1,14668650
2022,16,162498258,1.000,1,14668651
2022,12,162498266,0.000,1,14668653
2022,16,162498274,0.000,1,14668656
2022,16,162498284,7.000,9,14668658
2022,5,162398318,40.000,1,14656558
2022,12,162398319,2.000,1,14656559
2022,16,162398320,0.000,1,14656560
2022,16,162398321,2.000,1,14656561
2022,12,162398322,1.000,1,14656562
2022,12,162398323,2.000,1,14656563
2022,12,162398324,0.000,1,14656564
2022,12,162398325,0.000,1,14656565
2022,12,162392305,2.000,1,14656020
2022,12,162392521,0.000,1,14656032
2022,5,162392911,8.000,3,14656060
2022,12,162526910,80.000,1,14671013
2022,12,162392939,1.000,1,14656061
2022,12,162521242,7.000,1,14670766
2022,16,162910329,0.000,1,14718605
2022,16,162522746,0.000,1,14670879
2022,12,162526400,0.000,1,14670972
2022,17,162910343,6.000,1,14718609
2022,12,162910380,1.000,1,14718611
2022,12,162921294,0.000,1,14719573
2022,16,162921301,3.000,1,14719574
2022,12,162921304,0.000,1,14719575
2022,12,162921305,0.000,1,14719576
2022,16,162922003,0.000,1,14719629
2022,12,162922015,0.000,1,14719631
2022,5,162922312,92.000,1,14719649
2022,16,162922337,0.000,1,14719650
2022,9,149527424,1.000,11,12821609
2022,12,149528266,1.000,11,12821663
2022,13,149528288,3.000,1,12821665
2022,8,149529608,1.000,1,12821690
2022,17,149549936,2.000,1,12823750
2022,2,149581813,1.000,1,12826625
2022,16,149529656,1.000,11,12821692
2022,12,149529677,3.000,1,12821693
2022,8,151455722,5.000,9,13096546
2022,4,151449959,3.000,1,13095947
2022,12,151449971,1.000,9,13095948
2022,8,151449974,1.000,11,13095949
2022,16,151450051,3.000,9,13095957
2022,8,151493322,1.000,1,13102523
2022,12,151493813,1.000,1,13102555
2022,13,151473132,1.000,1,13099306
2022,8,151473223,1.000,1,13099309
2022,4,155188263,10.000,1,13667156
2022,12,155188264,1.000,11,13667157
